,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Romance,0.8625259999999999,4.890611,1.0824379999999991,4.9042939999999895,4.013464,0.7823429999999999,0.7384820000000001,9.579991000000001,3.932897,2.080478,1.397855999999999,2.7358639999999994,1.745898,1.409752,2.275489,1.2277170000000002,1.6372509999999998,13.771795000000001,3.004348,2.8891109999999998,3.756329,9.412235999999998,7.063134,7.287800999999998,19.457095000000002,12.826198999999997,12.297890999999995,12.486405999999999,11.182694000000003,8.208095999999998,12.310975,14.025165999999999,14.822368999999993,22.789822999999984,23.870260000000005,32.11709299999998,27.852428999999994,17.321841000000003,26.813626,30.715275999999996,21.11021100000001,50.884914,37.59863799999999,28.161577000000005,40.75055699999999,55.135001,43.95447300000002,40.901217999999986,66.27842200000002,54.28741800000001,57.60599200000001,59.01006900000002,53.64811899999998,40.020500999999996,54.07455999999996,53.699132999999996
TV Movie,0.0,0.0,0.0,0.0,0.0,0.191276,0.0,0.0,0.0,0.224638,0.250313,0.45424799999999893,0.024345,0.523265999999999,0.326225,0.0,0.9994129999999999,0.0,0.526656,0.0,0.0,0.177964,0.22394699999999998,0.20684899999999998,0.791148,0.0,0.0,1.20561,0.527338,0.0,0.255318,0.0,0.0,0.0,0.6826289999999999,0.3856,0.562928,0.512273,1.523651999999999,1.109447,0.23100300000000001,2.2483539999999995,0.9815020000000001,0.945825,1.316795,0.81826,3.2732440000000005,1.3248190000000002,1.4694379999999994,2.599115,2.8805829999999997,4.534423999999998,2.835301,2.8870409999999995,4.489560999999999,5.2840620000000005
Action,1.591635999999999,2.1002170000000002,3.0850210000000002,1.8744589999999999,1.224621,1.489078,3.311324,2.391023,3.5303209999999994,4.814711,4.2280359999999995,7.020347999999999,4.24814,5.664031999999998,8.837349999999999,4.397346,4.284977999999998,6.6496499999999985,7.964146999999999,9.112615999999997,13.417210999999998,6.523442,6.631080999999997,6.342492,14.620136,14.528576000000005,18.788441000000002,14.142877999999998,16.077222999999996,16.778808999999995,19.553466000000004,15.316986999999996,17.088609,32.202802,51.153105,32.379231999999995,30.796452000000013,40.922761,36.252790000000026,30.732954000000003,31.992395000000005,44.71342899999999,53.185789999999976,70.14913,66.141553,47.37173400000001,45.11554899999999,56.97240100000001,72.93523699999994,79.26263799999995,101.23981800000006,93.10091300000005,95.84991499999997,116.709482,227.74203300000013,240.65917899999994
Thriller,2.3790189999999987,1.711556,3.545079,2.277034,2.8367189999999987,4.475763,1.179522,1.437241999999998,3.341692,2.037865999999999,2.121905,4.204643999999999,8.42469,5.728077,11.067784999999999,5.248032999999991,4.49995,3.2405629999999994,8.497914999999997,8.688171,13.282039999999997,11.479928999999998,6.334444999999998,11.586725,12.245175,16.276113000000002,13.230300999999999,10.082350000000002,17.369659000000006,20.80020599999999,24.63597800000001,18.246793999999998,20.903668999999994,30.127155999999978,36.78344099999999,32.068532000000005,41.43545699999999,54.07570300000001,36.612854000000006,50.82436099999998,41.474768999999995,50.438805999999985,68.029256,63.54431399999996,55.919421,54.44983299999997,65.85498199999998,86.579789,80.96514399999998,95.75314499999989,95.30364999999996,121.54178800000004,100.98955099999995,135.37137300000006,200.600176,240.28701700000002
Comedy,3.066128999999999,5.6841170000000005,3.7144949999999985,6.3892029999999895,2.8851220000000004,2.1611290000000003,4.453848999999999,9.130901999999997,7.270594000000001,5.671862999999999,3.035453999999999,1.8944,4.681453000000001,3.683099,3.503508,4.4849060000000005,5.5755,18.350249000000005,6.115862000000002,13.812897000000003,15.72224,12.291349999999994,17.684715,16.432962,26.471393999999997,33.535487,25.619204000000003,33.934281999999996,36.38429999999999,36.599105,29.173081999999983,32.102107000000004,26.529696000000012,38.92129799999998,58.33435200000002,56.972916999999995,50.751105,45.44711399999999,50.65786299999999,56.736709999999974,49.013948000000006,67.62494199999998,63.83598599999999,76.823294,95.92925399999991,99.505854,103.74309800000003,87.46656799999992,100.76478800000002,117.35509299999991,103.94569499999993,129.6549160000001,118.83302799999996,112.74910799999995,167.94575,151.92598299999997
Drama,6.475395999999999,6.045221,8.854997999999998,7.227732999999998,12.540791999999998,7.360932000000001,4.204018,7.339599999999998,9.307876999999996,5.5556,6.632101999999999,13.850632999999988,4.806633999999999,16.005991,9.469717,7.421811999999992,13.393282999999998,23.345507999999995,9.913721999999998,14.320296000000004,13.391893999999995,18.831556,14.948584000000002,16.632084999999993,28.997787999999993,21.327439000000005,24.104497999999996,24.630338999999996,23.344793999999975,36.05772300000002,34.390385,37.18244600000001,42.53116100000001,48.73847699999998,55.858359,63.616350000000004,62.67752899999998,49.495669000000014,73.23069100000002,69.87438999999996,53.06453599999999,67.42621599999998,81.63311300000002,60.971468,85.57638099999997,112.39228799999997,118.14234499999996,119.95555299999994,123.18007199999998,127.68061899999994,125.30443999999994,132.42466800000003,144.12681999999992,181.52566700000014,229.72421799999984,243.1441139999998
History,3.29784,2.132346,0.671595,0.0,0.2910059999999999,2.9820490000000004,1.227582,0.485898,0.633128999999999,0.330802,0.708584,0.629559,0.200809,0.273523,0.7676479999999999,1.906363,1.055959999999999,2.387571,0.231007,0.559379,2.124864,1.573813,0.952299,0.00212,2.695778,0.214009,1.6760639999999998,1.269604999999999,1.373081999999999,2.3389860000000002,1.1684829999999988,1.287839,4.115137,2.2226920000000003,2.105840999999999,2.872927999999999,2.804446,3.2618239999999994,5.673011999999999,2.513779999999999,1.364303,9.823536999999998,6.108637,5.853361,6.073237,14.004253,8.760302,8.794727,12.118441999999996,8.406827,7.4282819999999985,2.936681,5.993643000000001,13.284565999999998,18.078808000000006,15.097015
Music,0.0,0.972336,1.035458999999999,0.0,0.28039000000000003,0.328867,0.0,4.160137000000001,1.063537,0.52866,3.667744,0.861629999999999,0.945604,0.0,0.302096,0.162767,1.2928159999999997,2.177632,0.6613449999999991,0.8723110000000001,1.2589180000000002,0.8272579999999979,3.908265,2.451619,7.130422000000001,0.8114029999999991,3.713116,1.2481539999999998,2.660286,1.2841960000000001,1.755068,2.098345999999999,6.394124000000001,3.738787,1.375755999999999,0.0,1.769082,2.208236,5.2507199999999985,3.0243979999999993,4.568364000000001,4.49802,1.406725,7.524396,7.347630999999998,5.3516759999999985,5.969814,13.190641999999999,8.741111999999998,9.146423,3.8853290000000005,6.990193999999998,10.777245,12.005512999999997,18.365292,20.89895699999999
Horror,2.7302839999999993,1.33426,3.2673050000000003,3.501704,1.073879,3.2170390000000006,1.400173,1.754111999999999,1.127025999999999,2.074448,1.26649,2.913801,2.4410769999999995,6.687730000000001,2.5300730000000007,5.798829,2.6750730000000003,2.8812539999999975,8.750855999999999,3.569446,7.811580999999999,8.691884,10.732788999999999,7.744256,8.774448999999999,14.514937999999997,17.306053999999996,15.960280000000001,17.69316399999999,18.546977999999992,11.364568000000002,8.288975,7.649977,8.627178999999998,5.456621000000001,9.622373999999999,12.391713999999999,20.50870699999999,11.961041,14.782575999999999,8.839376000000001,14.786614999999983,18.710431999999997,13.171615000000003,30.426122999999997,29.155037000000007,27.370884,47.90316500000001,26.09107399999999,41.66145699999996,34.15083099999999,33.86613700000001,41.25157500000001,59.877991999999985,50.69134899999998,60.105957000000025
Documentary,0.0,0.0,0.0,0.0,0.0,0.0,0.151845,0.502062,0.0,0.0,1.2554910000000001,0.0,0.432033,0.42076800000000003,0.63419,0.438899,0.360421,0.602862,0.9502450000000001,0.0,0.0,0.372836,0.8848440000000001,0.0,0.588541,0.322151,0.0,0.0,1.314937,0.544041,0.11455499999999999,1.218855,0.700187,0.207999,0.5860310000000001,0.477506,0.704969,0.67779,0.641092,0.931228,0.48842299999999994,0.993458,2.57521499999999,2.588067999999999,3.215968,3.854162999999999,3.931332,5.304658999999999,4.934117999999999,5.2077160000000005,8.207312,10.218768999999996,8.353879999999997,11.211675000000003,11.759898999999999,11.255748999999998
Foreign,0.0,0.74032,0.0,0.0,0.626005,0.306394,0.40273000000000003,0.14821499999999999,0.0,0.0,0.279079,0.0,0.0,0.0,0.0,0.056929999999999994,0.325953,0.0,0.408494,0.0,1.305622999999998,0.0,0.426978,0.258294,0.0,0.0,0.0,0.0,0.168545,1.2308810000000001,0.37488,1.032439,0.7377630000000001,1.837617,0.675739,0.48066299999999995,0.449178,0.766016,0.770831,0.937599,0.6637909999999999,0.918589,2.0894479999999995,1.1352670000000002,1.495271,2.3316160000000004,2.7197950000000004,4.161954,4.247929000000001,3.7956929999999987,2.7364049999999995,1.9003179999999986,1.008088,0.0,0.0,0.0
