,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Adventure,2.674412999999999,3.3178339999999995,1.1097169999999998,2.3572280000000005,3.6754260000000007,1.024276,3.345101,2.76295,1.3678700000000001,2.3868370000000003,1.9039490000000003,4.288994999999989,1.7069860000000001,3.1210949999999986,5.0564860000000005,6.062457000000001,1.7342759999999997,5.983072999999999,5.845126999999996,7.736164999999999,5.134101999999998,3.79075599999999,3.7484219999999993,7.860602999999999,11.474718,13.341778000000003,9.147269999999999,5.472499999999997,5.204359,12.382098,12.978444999999988,6.339412999999999,8.359506,12.528743999999987,24.990779999999983,21.487140000000004,20.219153999999996,25.902476000000004,30.888926999999992,24.822889000000007,17.400312000000007,27.257935000000007,30.564232999999994,38.943569999999994,42.40416400000001,36.698919,37.807243,37.455995,60.945254999999975,76.66867399999994,62.814403999999996,55.42669699999999,70.77213300000003,56.058004000000025,144.55522,226.422082
Science Fiction,3.3396719999999998,0.7879060000000001,1.196412,2.20446,1.898734999999999,0.40649599999999997,2.211383,1.814842999999999,0.889752,2.735558,0.391969,0.6978639999999999,0.7966309999999999,1.3638350000000001,2.1390050000000005,8.342025999999999,1.7756340000000002,4.386045999999998,7.183602999999998,7.449412999999999,3.973203999999999,3.8332429999999897,5.802402,7.0213149999999995,17.472770999999995,11.167750000000002,8.895292,11.337985999999997,13.700488999999978,8.186563999999995,9.471931999999992,2.4695000000000005,6.624090999999998,7.001079000000001,15.474527999999992,11.843971000000002,12.799358,27.762296999999997,20.489867,18.570992000000004,18.069321000000002,17.228326,29.446626999999996,32.675593,35.551646000000005,10.833766999999991,16.59722899999999,24.706424999999996,39.733235,60.94761000000001,25.678203,48.12593899999999,44.23277599999998,58.32949800000001,121.78309699999998,193.487063
Fantasy,1.872132,0.962335,0.675085,1.5666820000000001,0.628684,0.100102,0.929393,1.106603,4.005598999999999,1.7540030000000002,0.299819,0.454409,0.236771,1.7585239999999989,1.095548,2.6201209999999997,2.832079,5.644304999999999,3.010916999999999,0.658879,3.3410889999999984,2.10140199999999,8.006921000000002,3.2247719999999993,6.854767999999999,8.162301,3.3802199999999987,9.397051000000003,4.947830999999999,7.9911869999999965,8.637556,6.020966999999998,5.548952999999999,4.830537999999991,24.08302099999999,18.920192999999987,13.705392,7.575153999999997,19.47619499999999,18.20077399999999,10.736613000000002,15.458635999999998,13.749471,31.922347999999992,15.837639000000001,22.41265299999999,29.743051999999995,31.087414999999996,42.571057999999994,40.261449999999996,40.284399000000015,31.127984999999992,47.031822000000034,31.152139,68.334598,57.36374799999998
Crime,1.2548699999999997,0.374992999999999,0.8446940000000001,1.4896920000000002,3.8591089999999997,0.708455,1.358987,2.208430999999999,3.049814,1.0410979999999999,3.108481,2.7066199999999996,2.6398900000000003,6.484741,8.047607,5.87760999999999,3.441807,0.933957,1.02816,3.291975,3.5124819999999985,3.8495249999999994,7.025543,5.513551999999999,6.399904999999999,12.033977000000004,8.820060999999995,7.9217299999999975,13.953705,16.832993,17.132067999999997,8.011883000000001,11.453182,21.28270399999998,22.812830999999992,19.240861999999996,17.725398999999992,25.555800000000005,21.604066999999993,21.864277999999995,25.360468000000008,33.39762900000001,30.114637999999985,43.219767,28.573868000000004,34.670294999999975,40.537588,49.392101999999994,35.540713000000004,28.362135000000002,37.72658099999999,43.06527399999998,47.30468899999998,63.73032300000001,59.681012,87.91112500000004
Western,0.291026,1.620640999999999,0.526108,1.13932099999999,0.43455099999999997,1.6700540000000001,1.3766299999999991,1.117509,0.166845,0.0,2.385984,5.241422,1.287922,4.271183,0.506494,1.2303790000000001,2.3920440000000003,0.28016599999999997,0.8560139999999989,3.27482,3.820007,0.0,0.945298,0.449475,0.0,1.5018309999999988,1.6097259999999998,0.532211,0.0,0.22579899999999997,1.253075999999999,1.254863,4.508277,1.1243150000000002,11.257109,2.378734,0.0,0.0,1.418168,1.048350999999999,1.1868479999999992,0.8538890000000001,1.182695,2.8524740000000004,5.603662999999999,2.248003,0.43018199999999995,3.0094989999999897,0.769558,0.0,4.579267,4.185536,0.646815,2.167356,3.736085999999999,19.072777000000002
Family,0.712389,0.355895,1.63776,4.071644,0.361758,1.250123,1.498621,0.686833,4.259335,0.5700430000000001,0.531845,0.329375,1.0613400000000002,3.675509999999999,1.3657000000000001,0.613078,3.675502,6.362120999999999,2.4872989999999984,6.860100999999999,2.257272999999999,2.2808679999999897,7.918285000000001,4.3753839999999995,5.3807480000000005,6.160451999999999,6.521995999999999,7.557908999999999,5.024065,11.901969999999999,9.36018499999999,11.129938999999998,5.456393,13.513764999999989,19.97568099999999,27.282225999999994,13.932033000000002,24.312531999999987,19.73868799999999,17.381005000000005,16.146205000000002,18.314444000000005,26.02948799999999,35.615123999999994,32.96437100000001,38.387651,52.766228000000005,37.43638599999999,39.46096599999999,56.334979,54.224954000000025,57.115041,38.88299400000001,34.51074500000001,50.81362200000001,60.29751199999999
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animation,0.0,0.0,0.41224800000000006,0.615,0.161951,0.319224,0.0,0.416132,1.189083,0.7090179999999999,0.250313,0.0,0.38455700000000004,2.0563719999999988,0.577802,0.303521,0.606695,4.10447,0.826489999999999,0.473733,0.118342,0.36551099999999903,6.588671000000001,4.331302,1.6891630000000002,0.29581599999999997,1.797497,1.447340999999999,1.061064,2.294856,4.510731999999989,1.349197999999999,1.856672,1.867649,4.248174999999999,6.671072000000001,2.7140390000000005,10.187439999999995,5.666587,12.185045,13.190126,14.711062999999998,21.376022999999993,22.723655000000004,20.779957999999993,20.682992999999996,31.957867000000004,24.241560999999994,21.810901999999995,41.69153499999999,44.966176,40.78112,40.28068200000001,30.61729300000001,43.247168000000016,44.833096
War,0.565148999999999,0.027527,1.7402570000000002,0.3104,0.0154759999999999,2.574857,1.527493,0.139647,1.4822730000000002,2.117103,0.931194,1.343,0.0,1.033743,0.666364,0.35538400000000003,1.053578999999999,3.1789699999999996,3.5204960000000005,0.819469,0.7695989999999999,0.325065,0.683163,1.1085909999999999,1.843477,0.207447,1.9482309999999998,1.721435999999999,2.042943999999999,4.256999,1.601897999999999,1.1524079999999999,0.882783,3.8717999999999995,2.830307,1.418778,2.93953,1.008461,1.853585,0.7009259999999989,1.624579,12.546649999999998,11.8165,6.139266999999999,7.151837999999999,6.062873,4.417569999999999,1.8314749999999997,12.819978,5.214651999999999,4.576643,5.535637,7.3739230000000004,4.214437000000001,37.352810000000005,11.560924999999997
Mystery,0.513470999999999,0.0,3.079748,1.803956,1.430203999999999,1.183889,1.110492,2.210674999999998,0.8092969999999999,0.281458999999999,0.8991239999999999,1.675849,6.350982,5.248198,0.616417,7.910085999999998,3.256890999999999,0.861490999999999,2.485546999999999,2.8121650000000002,5.750747999999998,4.904335000000001,7.385732,3.124554,2.805994,2.099489,3.339849,5.131468999999999,4.222925000000001,3.4244640000000004,7.682353000000001,3.19891,3.573469999999999,9.367703,7.61252399999999,7.2081599999999995,14.311240999999999,23.45165199999999,13.256322999999998,21.363501,7.566664,13.100173999999988,22.073797000000003,13.074139,19.580925000000004,16.620801999999994,21.815474999999996,26.836702999999993,20.827364999999997,32.77555099999999,24.367549000000004,44.192488999999966,13.435465999999996,21.999521999999992,39.68199199999998,50.858691999999984
